大会名,日にち,会場,結果,課題曲,自由曲,指揮,協演,備考
第61回,2006,(不明),金賞　理事長賞,男声合唱のための『東海道中膝栗毛』より<br>「小夜の小山」(千原英喜),『Quatre petites prieres de Saint Francois d'Assise』(F.Poulenc),清水敬一,<br>,<br>
第62回,2007/09/17,(不明),(シード),『12のインヴェンション』より<br>「田植唄」(間宮芳生),男声合唱のための『王孫不帰』より<br>「Ⅰ」(三善晃),清水敬一,"小田裕之pf<br>渡辺由美子sleigh bell<br>伊坂浩嗣Mok-Sho",<br>
第63回,2008/09/28,(不明,(シード),『ガルシアロルカの五つのシャンソン』より<br>「枯れたオレンジの木のシャンソン」(池辺晋一郎),混声合唱のための『風の馬』より<br>「第２ヴォカリーズ」<br>「食卓の伝説」(武満徹),真下洋介,小田裕之pf,<br>
第64回,2009/9/26,文京シビックセンター　大ホール,銀賞,『眼の森』男声合唱のためにより<br>「海へ」(遠藤雅夫),男声合唱のための『おらしょ』より<br>「Ⅱ」(千原英喜),真下洋介,<br>,<br>
第65回,2010/09/18,文京シビックセンター　大ホール,銀賞,『Laudes de Saint Antoine de Padoue』より<br>「Si quaris」(F.Polenc),『男声合唱のためのコンポジション』より<br>「Ⅰ」「Ⅱ」(間宮芳生),真下洋介,<br>,<br>
第66回,2011/9/18,文京シビックセンター　大ホール,銀賞,"『Dir, Seele des Weltalls』(W.A.Mozart)",『Lieder für Männerchor』より<br>「Türkisches Schenkenlied」ほか(Mendelssohn),真下洋介,<br>,<br>
第67回,2012/9/16,文京シビックセンター　大ホール,金賞　理事長賞,同声(女声または男声)三部合唱とピアノのための組曲『永訣の朝』より<br>「松の針」(西村朗),『舞歌 III』男声合唱とピアノのためのより<br>「春と修羅」(新実徳英),真下洋介,小田裕之pf,<br>
第68回,2013/9/15,文京シビックセンター　大ホール,金賞,『合唱による風土記』より<br>「阿波」(三木稔),男声合唱組曲『青いメッセージ』より<br>「ごびらっふの独白」(高嶋みどり),真下洋介,小田裕之pf,<br>
第69回,2014/09/06,府中の森芸術劇場どりーむホール,銀賞,男声合唱とピアノのための『新しい歌』より<br>「うたを うたう とき」(信長貴富),男声合唱とピアノのための組曲『天使のいる構図』より<br>「Capriccio」<br>「Tempestoso」(松本望),真下洋介,小田裕之pf,<br>
第70回,2015/10/3,文京シビックセンター　大ホール,金賞　理事長賞,男声合唱組曲『日曜部 ～ひとりぼっちの祈り～』より<br>「おやすみ」(南安雄),同声(女声または男声)三部合唱とピアノのための組曲『永訣の朝』より<br>「永訣の朝」(西村朗),清水昭,小田裕之pf,<br>
第71回,2016/9/18,文京シビックセンター　大ホール,金賞　理事長賞,男声合唱とピアノのための『三つの時刻』より<br>「松よ」(三善晃),『男声合唱とピアノのための感傷的な三つの奏鳴曲』より<br>「落下傘」(高嶋みどり),清水昭,小田裕之pf,<br>
第72回,2017/9/17,文京シビックセンター　大ホール,銀賞,"『Quatre petites prieres de Saint Francois d'Assise』より<br>「Seigneur, je vous en prie」(F.Poulenc)",男声合唱とピアノのための『五つのモノローグ』より<br>「女に」<br>「頼み」(信長貴富),清水昭,小田裕之pf,<br>
第73回,2018/9/16,文京シビックセンター　大ホール,金賞,男声合唱組曲『青いメッセージ』より<br>「秋の夜の会話」,男声とピアノのための『決意』より<br>「決意」(新実徳英),真下洋介,小田裕之pf,<br>
第74回,2019/9/5,文京シビックセンター　大ホール,銅賞,男声合唱君曲『Enfince finie』より<br>「物語」(木下牧子),『Laudes de Saint Antoine de Padoue』(F.Poulenc),真下洋介,小田裕之pf,<br>
第75回,<br>,<br>,<br>,<br>,<br>,<br>,<br>,※新型コロナウイルス拡大のため中止
第76回,2021/10/16,北とぴあ　さくらホール,金賞　理事長賞,『男声合唱のためのコンポジション』より<br>「Ⅰ」(間宮芳生),男声合唱とピアノのための『修司の海』より<br>「Ⅲ.海のない帆掛船/泣いたままの壁の絵」<br>「Ⅳ.サンゴ」(三宅悠太),真下洋介,小田裕之pf,<br>
第77回,2022/9/23,昭和女子大学人見記念講堂,金賞,男声合唱組曲『そのあと』より<br>「花と画家」(上田真樹),男声合唱とピアノのための『三つのよじれ歌』より<br>「古生代から　新発見の化石にひとびと集まるとき」(新実徳英),真下洋介,小田裕之pf,<br>
第78回,2023/9/10,文京シビックセンター　大ホール,銅賞,"『Quatre petites prieres de Saint Francois d'Assise』より<br>「Salut, dame sainte」(F.Poulenc)",男声合唱とピアノのための組曲『回風歌』より「Ⅲ」(松本望),真下洋介,小田裕之pf,<br>
第79回,2024/9/21,文京シビックセンター　大ホール,金賞　理事長賞,男声合唱とピアノのための組曲『瞬間の輝き』より<br>「陥星」(松本望),男声合唱とピアノのための組曲『音楽家の友への五つの詩』より<br>「Ⅱ.ピアニストの死」<br>「Ⅴ.ながいながい曲の終りにただ一度立ち上がってシンバルを叩いた人に幸あれ」(信長貴富),清水昭,小田裕之pf,<br>
第80回,2025/9/6,文京シビックセンター　大ホール,(シード),男声合唱組曲『雪と花火』より<br>「彼岸花」(多田武彦),『愛のうた-光太郎･智恵子-<br>男声合唱とフルート､クラリネット､弦楽オーケストラのために<br>[ピアノ･リダクション(四手連弾)版]』より「Ⅳ.レモン哀歌」(新実徳英),清水昭,"小田裕之pf<br>井川弘毅pf",<br>