大会名,日にち,開催地,会場,結果,課題曲,自由曲,指揮,協演,備考
第55回,2002/11/23,滋賀県,滋賀県立芸術劇場<br>びわ湖ホール,"金賞2位<br>大津市教育委員会<br>カワイ出版賞",男声合唱組曲『クレーの絵本　第2集』より<br>「死と炎」(三善晃),男声合唱曲『合唱のためのコンポジションⅢ』より<br>「鞨鼓」(間宮芳生),清水敬一,<br>,<br>
第56回,2003/11/22,三重県,三重県文化会館<br>大ホール,銀賞4位,『三つの無伴奏合唱曲』より<br>「しようがない」(柴田南雄),男声合唱組曲『青いメッセージ』より<br>「ごびらっふの独白」(高嶋みどり),清水敬一,小森瑞香pf,シード出場
第59回,2006/11/25,熊本県,熊本県立劇場<br>コンサートホール,"金賞1位<br>熊本市教育長賞",男声合唱のための『東海道中膝栗毛』より<br>「小夜の小山」(千原英喜),『Quatre petites prieres de Saint Francois d'Assise』(F.Poulenc),清水敬一,<br>,<br>
第60回,2007/11/10,東京都,東京文化会館<br>大ホール,"金賞1位<br>台東区教育長賞",『12のインヴェンション』より<br>「田植唄」(間宮芳生),男声合唱のための『王孫不帰』より<br>「Ⅰ」(三善晃),清水敬一,"小田裕之pf<br>渡辺由美子sleigh bell<br>伊坂浩嗣Mok-Sho",シード出場
第61回,2008/11/22,岡山県,岡山シンフォニーホール,金賞4位,『ガルシアロルカの五つのシャンソン』より<br>「枯れたオレンジの木のシャンソン」(池辺晋一郎),混声合唱のための『風の馬』より<br>「第２ヴォカリーズ」<br>「食卓の伝説」(武満徹),真下洋介,小田裕之pf,シード出場
第65回,2012/11/24,富山県,富山市芸術文化ホール<br>オーバード・ホール,金賞4位,同声(女声または男声)三部合唱とピアノのための組曲『永訣の朝』より<br>「松の針」(西村朗),『舞歌 III』男声合唱とピアノのためのより<br>「春と修羅」(新実徳英),真下洋介,小田裕之pf,<br>
第68回,2015/11/21,長崎県,長崎ブリックホール<br>大ホール,銀賞7位,男声合唱組曲『日曜部 ～ひとりぼっちの祈り～』より<br>「おやすみ」(南安雄),同声(女声または男声)三部合唱とピアノのための組曲『永訣の朝』より<br>「永訣の朝」(西村朗),清水昭,小田裕之pf,<br>
第69回,2016/11/19,鳥取県,とりぎん文化会館<br>梨花ホール,金賞4位,男声合唱とピアノのための『三つの時刻』より<br>「松よ」(三善晃),『男声合唱とピアノのための感傷的な三つの奏鳴曲』より<br>「落下傘」(高嶋みどり),清水昭,小田裕之pf,<br>
第74回,2021/11/20,岡山県,岡山シンフォニーホール,銀賞4位,『男声合唱のためのコンポジション』より<br>「Ⅰ」(間宮芳生),男声合唱とピアノのための『修司の海』より<br>「Ⅲ.海のない帆掛船/泣いたままの壁の絵」<br>「Ⅳ.サンゴ」(三宅悠太),真下洋介,小田裕之pf,<br>
第77回,2024/11/23,愛媛県,愛媛県県民文化会館<br>メインホール,"金賞2位<br>松山市教育長賞",男声合唱とピアノのための組曲『瞬間の輝き』より<br>「陥星」(松本望),男声合唱とピアノのための組曲『音楽家の友への五つの詩』より<br>「Ⅱ.ピアニストの死」<br>「Ⅴ.ながいながい曲の終りにただ一度立ち上がってシンバルを叩いた人に幸あれ」(信長貴富),清水昭,小田裕之pf,<br>
第78回,2025/11/22,佐賀県,佐賀市文化会館<br>大ホール,"金賞3位<br>日本放送協会賞",男声合唱組曲『雪と花火』より<br>「彼岸花」(多田武彦),『愛のうた<br>-光太郎･智恵子-男声合唱とフルート､クラリネット､弦楽オーケストラのために<br>[ピアノ･リダクション(四手連弾)版]』より「Ⅳ.レモン哀歌」(新実徳英),清水昭,"小田裕之pf<br>井川弘毅pf",シード出場